MMSI,DESTINATION,DRAUGHT,DESTINATION_KEY,first(DT_POS_UTC),last(DT_POS_UTC),count*(SEQ_NO),PERIOD
311000665,SUEZ,11.9,1,2021-01-01 00:45:56,2021-01-16 19:09:16,889,15
311000665,INCHON,11.9,2,2021-01-16 19:34:47,2021-01-17 07:05:07,143,0
311000665,ARMED GUARDS ONBOARD,11.9,3,2021-01-17 07:39:27,2021-01-21 19:01:11,409,4
311000665,SAMCHOEK,11.9,4,2021-01-21 19:50:05,2021-01-23 04:49:43,66,1
311000665,KR  SUK,11.9,5,2021-01-23 09:59:53,2021-02-01 17:22:39,113,9
311000665,KR  TYG,11.9,6,2021-02-01 18:35:52,2021-02-03 03:32:03,14,1
311000665,KR  YOS,9.9,7,2021-02-03 04:03:52,2021-02-09 14:31:52,28,6
311000665,EG SZC,9.9,8,2021-02-09 14:54:52,2021-02-16 00:33:57,195,6
311000665,ARM GUARDS ONBOARD,9.9,9,2021-02-16 01:00:32,2021-02-19 07:52:05,107,3
311000665,SUEZ CANAL,9.9,10,2021-02-19 08:11:30,2021-02-22 15:57:37,137,3
311000665,GIB,9.9,11,2021-02-22 16:31:11,2021-02-24 18:07:48,33,2
311000665,GIBG,9.9,12,2021-02-24 18:28:30,2021-02-24 18:28:30,1,0
311000665,GIB,9.9,13,2021-02-24 18:58:54,2021-02-25 04:53:59,14,0
311000665,GB GIB,9.6,14,2021-02-25 06:57:40,2021-02-26 16:31:36,43,1
311000665,GIB OPL,9.6,15,2021-02-26 17:03:50,2021-02-26 21:36:37,10,0
311000665,ALGECIRAS D ANCHORAG,9.6,16,2021-02-26 22:00:59,2021-02-27 03:04:57,11,0
311000665,US HOU,9.6,17,2021-02-27 03:34:48,2021-03-07 14:44:07,398,8
311000665,US FPO,9.6,18,2021-03-07 15:42:35,2021-03-07 20:06:10,6,0
311000665,US FPOAS,9.6,19,2021-03-07 20:34:41,2021-03-07 20:34:41,1,0
311000665,US FPO,9.6,20,2021-03-07 21:07:15,2021-03-11 17:35:53,107,3
311000665,PANAMA,11.7,21,2021-03-11 18:01:33,2021-03-19 16:06:56,356,7
311000665,"CRISTOBAL, PANAMA",11.7,22,2021-03-19 16:32:27,2021-03-19 17:04:46,2,0
311000665,CRISTOBAL^2C PANAMA,11.7,23,2021-03-19 17:34:33,2021-03-19 18:51:20,4,0
311000665,"CRISTOBAL, PANAMA",11.7,24,2021-03-19 19:34:12,2021-03-23 09:28:09,172,3
311000665,CRISTOBAL^2C PANAMA,11.7,25,2021-03-23 10:03:27,2021-03-24 09:06:22,46,0
311000665,JP FTS,11.7,26,2021-03-24 09:35:52,2021-04-15 00:00:59,927,21
311000665,KZU XX,11.7,27,2021-04-15 00:35:19,2021-04-16 05:35:43,59,1
311000665,EG SUZ,9.6,28,2021-04-16 06:05:46,2021-04-26 11:29:38,181,10
311000665,ARMED GUARDS,9.6,29,2021-04-26 12:05:32,2021-04-30 04:31:05,149,3
311000665,EG SUZ,9.6,30,2021-05-03 00:38:48,2021-05-05 21:06:43,122,2
311000665,FPO USA,9.6,31,2021-05-05 21:31:25,2021-05-06 08:01:32,22,0
311000665,FPO USAA,9.6,32,2021-05-06 08:36:25,2021-05-06 09:02:32,2,0
311000665,FPO USA,9.6,33,2021-05-06 09:33:07,2021-05-06 14:36:31,11,0
311000665,FPO USAAY,9.6,34,2021-05-06 14:59:14,2021-05-07 11:04:00,41,0
311000665,US FPT,9.6,35,2021-05-07 11:34:58,2021-05-13 12:34:47,252,6
311000665,US FPO,9.6,36,2021-05-13 13:05:27,2021-05-22 00:02:41,294,8
311000665,EG PSD,11.8,37,2021-05-22 00:30:56,2021-05-26 09:42:51,196,4
311000665,GI GIB,11.8,38,2021-05-26 10:50:13,2021-06-02 23:43:01,385,7
311000665,XX XXX>EG PSD,11.8,39,2021-06-02 23:53:08,2021-06-06 22:22:05,440,3
311000665,XX XXX,11.6,40,2021-06-06 22:34:03,2021-06-18 12:49:29,1365,11
311000665,SG SIN,11.5,41,2021-06-18 12:55:37,2021-06-19 16:20:39,158,1
311000665,TW YAN,11.5,42,2021-06-19 16:32:42,2021-06-25 00:19:26,389,5
311000665,CAMERON US,9.6,43,2021-06-25 00:31:26,2021-06-28 13:13:55,353,3
311000665,US CMU,9.6,44,2021-06-28 13:24:01,2021-07-10 01:56:16,1288,11
311000665,PORT ELIZABETH,9.6,45,2021-07-10 02:23:28,2021-07-10 10:26:24,17,0
311000665,US CAM,9.6,46,2021-07-10 10:56:31,2021-07-11 12:24:57,52,1
311000665,US YCN,9.6,47,2021-07-11 12:56:40,2021-07-18 14:26:45,340,7
311000665,US CMU,9.6,48,2021-07-18 14:55:28,2021-07-31 17:52:12,431,13
311000665,BR RIO,11.6,49,2021-07-31 18:16:18,2021-08-03 22:52:45,149,3
311000665,BR SSS,11.6,50,2021-08-03 23:20:02,2021-08-13 17:26:01,255,9
311000665,AR ESC,9.9,51,2021-08-13 17:56:10,2021-08-22 16:25:22,373,8
311000665,US FPT,9.5,52,2021-08-22 16:56:03,2021-08-25 15:54:37,143,2
311000665,US FPO,9.5,53,2021-08-25 16:25:53,2021-08-31 23:55:02,304,6
